text,service
sensitivity to light with headache,Neurology
shoulder joint stiffness,Orthopedics
headache with blurred vision,Neurology
itchy scalp and redness,Dermatology
pain in elbow when lifting objects,Orthopedics
itchy red spots on legs,Dermatology
red bumps on skin,Dermatology
sharp chest pain when breathing,Cardiology
crack sound in knee joint,Orthopedics
skin irritation after allergy,Dermatology
sensitivity to light with headache,Neurology
chest heaviness and fatigue,Cardiology
pain in leg after running,Orthopedics
stiff neck and shoulder pain,Orthopedics
severe headache behind eyes,Neurology
acne on forehead and cheeks,Dermatology
pain when bending back,Orthopedics
small itchy bumps on skin,Dermatology
heart beating irregularly,Cardiology
ankle pain after twisting foot,Orthopedics
burning sensation on skin,Dermatology
itching around skin folds,Dermatology
red bumps on skin,Dermatology
sensitivity to light with headache,Neurology
sharp headache on one side,Neurology
constant headache for two days,Neurology
stiff neck and shoulder pain,Orthopedics
difficulty walking due to knee pain,Orthopedics
white patches on skin,Dermatology
severe headache behind eyes,Neurology
headache with blurred vision,Neurology
constant pressure in head,Neurology
small itchy bumps on skin,Dermatology
itchy red spots on legs,Dermatology
ankle pain after twisting foot,Orthopedics
shoulder joint stiffness,Orthopedics
breathing difficulty with chest pain,Cardiology
heart beating irregularly,Cardiology
dry cracked skin on hands,Dermatology
ankle pain after twisting foot,Orthopedics
head spinning sensation,Neurology
itchy scalp and redness,Dermatology
difficulty bending knee,Orthopedics
difficulty bending knee,Orthopedics
burning sensation on skin,Dermatology
lower back pain after lifting,Orthopedics
bone fracture pain in leg,Orthopedics
left side chest pain,Cardiology
migraine with nausea,Neurology
migraine pain lasting several hours,Neurology
sprained ankle pain,Orthopedics
migraine with nausea,Neurology
pain near heart area,Cardiology
breathing difficulty with chest pain,Cardiology
crack sound in knee joint,Orthopedics
migraine with nausea,Neurology
bone fracture pain in leg,Orthopedics
left side chest pain,Cardiology
crack sound in knee joint,Orthopedics
skin inflammation after allergic reaction,Dermatology
heart racing suddenly,Cardiology
breathing difficulty with chest pain,Cardiology
acne on forehead and cheeks,Dermatology
skin rash after using new soap,Dermatology
red bumps on skin,Dermatology
difficulty focusing due to headache,Neurology
heart beating irregularly,Cardiology
difficulty concentrating due to headache,Neurology
frequent migraine attacks,Neurology
dry flaky skin patches,Dermatology
skin inflammation after allergic reaction,Dermatology
chest pain after heavy meal,Cardiology
constant headache for two days,Neurology
acne on forehead and cheeks,Dermatology
dry skin causing irritation,Dermatology
swelling in knee joint,Orthopedics
chest pressure during night,Cardiology
skin peeling on fingers,Dermatology
shortness of breath and chest pain,Cardiology
sudden dizziness during walking,Neurology
sensitivity to light with headache,Neurology
itchy red spots on legs,Dermatology
pain in elbow when lifting objects,Orthopedics
swelling in knee joint,Orthopedics
shortness of breath and chest pain,Cardiology
feeling dizzy and weak,Neurology
headache with blurred vision,Neurology
rash spreading across arms,Dermatology
left side chest pain,Cardiology
joint swelling in wrist,Orthopedics
red bumps on skin,Dermatology
pain in elbow when lifting objects,Orthopedics
breathing difficulty with chest pain,Cardiology
red bumps on skin,Dermatology
sudden dizziness during walking,Neurology
small itchy bumps on skin,Dermatology
bone pain in arm,Orthopedics
difficulty climbing stairs due to knee pain,Orthopedics
headache with blurred vision,Neurology
left side chest pain,Cardiology
shortness of breath and chest pain,Cardiology
migraine with nausea,Neurology
headache with blurred vision,Neurology
tingling sensation in head,Neurology
constant headache for two days,Neurology
unusual heartbeat feeling,Cardiology
lower back pain after lifting,Orthopedics
shortness of breath and chest pain,Cardiology
rapid heartbeat during rest,Cardiology
burning sensation on skin,Dermatology
dry skin causing irritation,Dermatology
small itchy bumps on skin,Dermatology
difficulty concentrating due to headache,Neurology
pain in elbow when lifting objects,Orthopedics
joint swelling in wrist,Orthopedics
irregular pulse feeling,Cardiology
pain in elbow when lifting objects,Orthopedics
dry flaky skin patches,Dermatology
pain in elbow when lifting objects,Orthopedics
hip pain while walking,Orthopedics
nausea with migraine pain,Neurology
rapid heartbeat during rest,Cardiology
heart pounding hard,Cardiology
chest discomfort after climbing stairs,Cardiology
acne on forehead and cheeks,Dermatology
difficulty standing due to leg pain,Orthopedics
heart pounding hard,Cardiology
chest heaviness and fatigue,Cardiology
chest pressure during night,Cardiology
itchy skin rash on arms,Dermatology
red bumps on skin,Dermatology
heart pounding hard,Cardiology
heart pounding hard,Cardiology
dry flaky skin patches,Dermatology
dry flaky skin patches,Dermatology
skin peeling on fingers,Dermatology
tooth pain and sensitivity,Dental
sharp pain when biting down,Dental
bleeding gums after brushing,Dental
swollen gum around tooth,Dental
toothache that worsens at night,Dental
cracked tooth pain,Dental
pain after dental filling,Dental
wisdom tooth pain and swelling,Dental
gum recession and sensitivity,Dental
loose tooth in adult,Dental
jaw pain near ear,Dental
white spots on teeth,Dental
persistent bad breath despite brushing,Dental
pain when drinking cold water,Dental
swelling on side of face near jaw,Dental
tooth abscess with throbbing pain,Dental
bleeding after tooth extraction,Dental
gum pain and redness,Dental
difficulty chewing due to tooth pain,Dental
tooth sensitivity to hot and cold,Dental
cavity pain in molar,Dental
pain when eating sweets,Dental
broken tooth with sharp edge,Dental
inflamed gum tissue,Dental
jaw clicking when opening mouth,Dental
mouth ulcer that won't heal,Dental
pain in upper teeth and cheek,Dental
sensitive teeth after whitening,Dental
sore gums around crown,Dental
tooth pain spreading to ear,Dental
fever and sore throat,General
persistent cough for a week,General
runny nose and sneezing,General
body aches and fatigue,General
mild headache and cold symptoms,General
upset stomach and nausea,General
skin rash and itching,General
loss of appetite and tiredness,General
feeling weak and dizzy,General
high temperature and chills,General
sore throat and difficulty swallowing,General
ear pain and fluid,General
eye redness and discharge,General
chronic fatigue without cause,General
frequent urination and thirst,General
unexplained weight loss,General
bloating and indigestion,General
dry cough and sore throat,General
lower back pain and fever,General
muscle pain and stiffness after rest,General
cold symptoms and blocked nose,General
watery eyes and sneezing,General
vomiting and diarrhea,General
mild fever and body weakness,General
headache and light sensitivity,General
stomach cramps and loose stools,General
burning sensation during urination,General
joint pain and morning stiffness,General
night sweats and fatigue,General
loss of smell and taste,General
pain in back molar,Dental
gum disease and swelling,Dental
tooth nerve pain,Dental
dental crown fell off,Dental
pain around wisdom teeth,Dental
tooth discoloration and sensitivity,Dental
chipped tooth and pain,Dental
sore jaw after chewing,Dental
gum boil with pus,Dental
pain in tooth root,Dental
teeth grinding at night,Dental
front tooth pain after injury,Dental
swollen lymph node near jaw,Dental
pain spreading from tooth to head,Dental
difficulty opening mouth fully,Dental
bleeding gums when flossing,Dental
inflamed tissue around wisdom tooth,Dental
tooth pain after eating hot food,Dental
multiple teeth sensitivity,Dental
sharp gum pain while eating,Dental
loose dental bridge,Dental
pain under dental crown,Dental
tooth enamel erosion and sensitivity,Dental
gum pain and difficulty brushing,Dental
swelling inside cheek near tooth,Dental
pain in jaw and neck,Dental
throbbing tooth pain at night,Dental
pain when tongue touches tooth,Dental
persistent tooth ache for days,Dental
cavity in front tooth,Dental
gum infection with bad taste,Dental
cracked molar pain,Dental
pain after root canal,Dental
sore spot on gum tissue,Dental
pain radiating from jaw to ear,Dental
sensitive tooth after crown,Dental
tooth pain after sports injury,Dental
swollen gum near back teeth,Dental
sharp pain in lower jaw,Dental
tooth pain with sinus pressure,Dental
aching teeth in cold weather,Dental
burning mouth sensation,Dental
pain after tooth extraction site,Dental
mouth sore near tooth,Dental
tooth pain when lying down,Dental
hard lump on gum,Dental
pain in multiple upper teeth,Dental
dental pain and swollen cheek,Dental
sensitivity after filling replacement,Dental
painful bite on one side,Dental
tooth pain after eating acidic food,Dental
gum tenderness near bridge,Dental
jaw stiffness and dental pain,Dental
pain when pressing on tooth,Dental
receding gumline and pain,Dental
dental implant pain and swelling,Dental
tooth pain that comes and goes,Dental
pain in jaw joint when chewing,Dental
sore underneath dental bridge,Dental
constant throbbing in one tooth,Dental
tooth pain with headache,Dental
painful gum near erupting tooth,Dental
loose filling and sensitivity,Dental
tooth ache after cold drink,Dental
pain along jawline,Dental
gum swelling after deep cleaning,Dental
sore tooth when touched,Dental
pain spreading to cheekbone,Dental
teeth clenching and jaw soreness,Dental
painful spot in roof of mouth,Dental
tooth pain with ear pressure,Dental
abscess on gum near tooth root,Dental
swollen gum after dental procedure,Dental
pain in all lower teeth,Dental
sensitive gum near crown margin,Dental
tooth pain after whitening treatment,Dental
pain in jaw when yawning,Dental
gum pain that comes and goes,Dental
tooth pain only when eating,Dental
pain in tooth after cold air,Dental
burning pain in gum tissue,Dental
sharp pain near tooth filling,Dental
tooth pain worsening with pressure,Dental
gum soreness in morning,Dental
jaw aching during chewing,Dental
pain in premolar tooth,Dental
tender gum area near molar,Dental
tooth sensitivity to sweet food,Dental
pain near wisdom tooth extraction,Dental
painful swollen tissue in mouth,Dental
tooth pain triggered by sweet drinks,Dental
dull ache in back teeth,Dental
pain in dental bridge area,Dental
soreness after braces adjustment,Dental
jaw popping and pain,Dental
tooth pain with swollen face,Dental
pain in canine tooth,Dental
gum pain when biting hard food,Dental
tooth numbness after procedure,Dental
pain in tooth socket,Dental
sore palate near upper teeth,Dental
gum inflammation and bleeding,Dental
pain in teeth during sinus infection,Dental
jaw tightness and tooth sensitivity,Dental
shooting pain in lower molar,Dental
tooth pain after trauma,Dental
pain from impacted wisdom tooth,Dental
painful gum tissue around implant,Dental
tooth sensitivity to pressure,Dental
jaw soreness and headache,Dental
pain in tooth after crown placement,Dental
gum pain with swollen neck glands,Dental
throbbing pain in lower jaw,Dental
tooth pain during pregnancy,Dental
sore jaw muscles and teeth,Dental
tooth pain spreading to temple,Dental
pain in tooth under bridge,Dental
bleeding after gum surgery,Dental
persistent pain after tooth extraction,Dental
sharp tooth pain on one side,Dental
gum line recession and bleeding,Dental
pain in wisdom tooth socket,Dental
tooth pain interfering with sleep,Dental
pain in multiple lower teeth,Dental
infected gum around tooth,Dental
pain when chewing on left side,Dental
tooth pain after grinding,Dental
painful lump under jaw,Dental
gum discomfort after scaling,Dental
pain in newly erupted tooth,Dental
tooth pain when tapping on it,Dental
dull jaw pain throughout day,Dental
sore gum near partial denture,Dental
tooth pain after filling removal,Dental
pain under gum flap,Dental
tooth pain in cold weather,Dental
pain in jaw joint and ear,Dental
sharp pain when biting into food,Dental
tooth sensitivity after bleaching,Dental
pain spreading from tooth to throat,Dental
sore gum near implant crown,Dental
tooth root exposed and painful,Dental
pain in teeth and facial swelling,Dental
jaw tension and tooth grinding,Dental
sensitive tooth after nerve treatment,Dental
pain around dental appliance,Dental
tooth pain after acidic drink,Dental
lower jaw pain at night,Dental
gum irritation near wisdom tooth,Dental
pain from broken tooth fragment,Dental
tooth pain and sinus drainage,Dental
tender spot on jaw bone,Dental
pain in tooth after hot drink,Dental
gum pain with fever,Dental
tooth pain in front upper jaw,Dental
aching jaw from prolonged chewing,Dental
pain in cracked tooth syndrome,Dental
swollen gum near root tip,Dental
persistent dull ache in jaw,Dental
tooth pain after sports guard,Dental
painful bite adjustment needed,Dental
mouth pain after oral surgery,Dental
gum pain from food impaction,Dental
sharp stinging in gum tissue,Dental
tooth pain triggered by pressure,Dental
jaw pain on waking up,Dental
tooth ache in upper left molar,Dental
pain from inflamed tooth pulp,Dental
gum pain near back of mouth,Dental
sensitive teeth during cold season,Dental
tooth pain after biting hard candy,Dental
pain in jaw and shoulder,Dental
tooth ache from gum recession,Dental
pain near wisdom tooth area,Dental
gum pain from hormonal changes,Dental
tooth pain that increases with heat,Dental
pain in tooth root tip area,Dental
gum soreness from new dentures,Dental
tooth pain affecting concentration,Dental
pain in jaw and temple area,Dental
throbbing pain under old crown,Dental
gum pain near tonsil area,Dental
tooth pain after chewing ice,Dental
jaw discomfort during stress,Dental
tooth pain with eye pain,Dental
painful sensitivity in all teeth,Dental
gum pain after tooth extraction,Dental
tooth pain from acid reflux,Dental
jaw pain after sleeping position,Dental
pain from partially erupted tooth,Dental
sore tooth when touched lightly,Dental
tooth pain and neck stiffness,Dental
gum bleeding during flossing,Dental
pain in tooth socket after healing,Dental
tooth pain triggered by cold air,Dental
mild toothache that lingers,Dental
jaw pain when drinking cold water,Dental
pain in back teeth when grinding,Dental
pain in gum near gold crown,Dental
tooth pain after antibiotic course,Dental
sharp pain in cracked molar,Dental
gum pain from retainer pressure,Dental
pain in tooth when yawning,Dental
tooth sensitivity near gumline,Dental
pain in jaw and difficulty eating,Dental
regular cold and cough,General
seasonal flu symptoms,General
mild allergic reaction,General
fatigue after long illness,General
general body pain and malaise,General
poor sleep and tiredness,General
mild fever without other symptoms,General
loss of energy throughout day,General
frequent headaches without cause,General
stomach pain after eating,General
nausea without vomiting,General
feeling unwell and lethargic,General
dry mouth and thirst,General
mild skin irritation and rash,General
sore muscles after activity,General
low grade fever in evening,General
frequent sneezing and watery eyes,General
mild chest discomfort without pain,General
stomach bloating after meals,General
general weakness and fatigue,General
pain in lower abdomen,General
frequent stomach upset,General
mild sore throat in morning,General
dry cough without fever,General
unexplained tiredness all day,General
frequent yawning and sleepiness,General
mild nausea after eating,General
frequent loose stools,General
general discomfort without cause,General
feeling hot and sweaty at night,General
mild dizziness after standing,General
poor appetite and weight loss,General
general joint stiffness,General
mild eye irritation,General
sore throat without fever,General
mild abdominal cramps,General
general feeling of being unwell,General
fatigue and difficulty concentrating,General
mild back pain without injury,General
feeling cold despite warm weather,General
frequent urination at night,General
mild headache in afternoon,General
runny nose in morning,General
occasional chest tightness,General
mild palpitations when anxious,General
sore muscles without exercise,General
mild constipation,General
general itching without rash,General
mild shortness of breath,General
occasional nausea in morning,General
feeling bloated all day,General
mild pain in stomach area,General
fatigue after eating,General
frequent burping after meals,General
mild difficulty breathing in humidity,General
general body temperature fluctuation,General
mild swelling in legs,General
occasional ear ringing,General
sensitivity to light with headache,General
mild pain in groin area,General
feeling heavy and sluggish,General
mild fever with body aches,General
sore throat and hoarse voice,General
general skin dryness and itching,General
fatigue with mild joint pain,General
low grade fever in children,General
mild stomach pain in morning,General
frequent hiccups and discomfort,General
feeling anxious and unwell,General
mild pain on swallowing,General
feeling tired after waking,General
general sensitivity to cold,General
mild pain in side of abdomen,General
frequent throat clearing,General
mild chest pain after eating,General
occasional blurred vision,General
general discomfort after meals,General
mild pain in upper back,General
feeling feverish without temperature,General
mild weight gain without cause,General
frequent stomach gas and bloating,General
mild heart palpitation at rest,General
general feeling of heaviness,General
occasional sharp pain in stomach,General
mild hand tremors,General
feeling foggy and unclear,General
mild knee pain without injury,General
sore neck and shoulder tension,General
mild skin peeling after rash,General
waking up tired every morning,General
mild pain in chest while breathing,General
general discomfort in pelvic area,General
fatigue and poor concentration,General
mild nausea after medication,General
feeling off balance occasionally,General
mild tenderness in lymph nodes,General
general aches in cold weather,General
mild pain in left arm,General
difficulty staying asleep,General
mild digestive discomfort,General
feeling warm without fever,General
mild pain when sitting long,General
frequent cold sores,General
general feeling of weakness,General
mild pain in right side,General
occasional stomach spasms,General
feeling drained after activity,General
mild pain in foot without injury,General
general discomfort in throat,General
mild cramp in calf muscle,General
feeling faint occasionally,General
mild sinus pressure and headache,General
general fatigue with mild fever,General
mild pain in shoulder area,General
feeling restless and unwell,General
mild numbness in fingers,General
frequent dry skin and flaking,General
general aches and weakness,General
mild discomfort in lower back,General
feeling sick without diagnosis,General
mild pain after long sitting,General
general loss of motivation,General
mild breathing difficulty at rest,General
feeling tired despite full sleep,General
mild pain in hip area,General
frequent morning headaches,General
general discomfort in chest,General
mild pain after eating spicy food,General
feeling unwell for several days,General
mild swelling in feet,General
general sensitivity to noise,General
mild pain in wrist area,General
frequent mild stomach cramps,General
feeling heavy in chest,General
mild discomfort when urinating,General
general tiredness and mood changes,General
mild pain behind eyes,General
frequent mild nausea,General
feeling unsteady while walking,General
mild pain in neck when turning,General
general feeling of being run down,General
mild pain in jaw area,General
frequent mild chest tightness,General
general discomfort in abdomen,General
mild pain in ankle without fall,General
feeling tired after mild activity,General
mild ear discomfort without infection,General
general itching in skin folds,General
mild burning in stomach,General
feeling cold hands and feet,General
mild pain in toe joints,General
frequent mild back pain,General
general discomfort in lower body,General
mild shortness of breath on stairs,General
feeling unwell after travel,General
mild pain in elbow area,General
general tiredness in afternoon,General
mild stomach ache after stress,General
feeling nauseated in the morning,General
mild pain in tailbone area,General
frequent mild dizziness,General
general discomfort in upper body,General
mild pain in shin area,General
feeling feverish at night only,General
mild discomfort in groin,General
general feeling of unease,General
mild pain in fingers,General
frequent mild joint aches,General
feeling generally unwell for weeks,General
mild discomfort in armpits,General
general tiredness with no cause,General
mild pain in collarbone area,General
feeling pressure in head,General
mild stomach cramps without diarrhea,General
general sensitivity to temperature,General
mild pain in upper arm,General
frequent mild headaches,General
feeling weak in legs,General
mild discomfort in back of throat,General
general discomfort after medication,General
mild pain in heel area,General
feeling not quite right overall,General
mild tingling in hands,General
frequent mild nausea after meals,General
general feeling of being ill,General
mild pain in lower leg,General
feeling under the weather,General
mild discomfort in chest area,General
general pain in multiple areas,General
mild pain in knee cap,General
frequent mild digestive upset,General
feeling exhausted without reason,General
mild discomfort in abdominal wall,General
general fatigue and low energy,General
mild pain in upper chest,General
feeling ill with no specific symptom,General
mild numbness in toes,General
frequent mild sore throat,General
general feeling of body pain,General
mild discomfort in lower leg,General
feeling unwell with poor appetite,General
mild pain in middle back,General
general body stiffness in morning,General
mild pain behind ears,General
frequent mild stomach pain,General
general discomfort after eating,General
mild pain in lower abdomen,General
feeling slow and unproductive,General
mild pain in outer ear,General
general tiredness and body soreness,General
mild discomfort in neck area,General
feeling sick and unable to eat,General
mild tingling sensation in limbs,General
frequent mild lower back pain,General
general pain and loss of energy,General
mild discomfort in chest wall,General
feeling unwell with mild headache,General
mild pain in abdominal muscles,General
general body aches without fever,General
mild pain near ribcage,General
pain in tooth while chewing meat,Dental
gum pain near recently filled tooth,Dental
tooth pain after cold rinse,Dental
sharp pain when biting down hard,Dental
gum pain near wisdom tooth area,Dental
tooth pain only on one specific side,Dental
dull aching pain in upper molar,Dental
tooth pain from exposed root,Dental
gum pain after professional cleaning,Dental
pain inside tooth after cold drink,Dental
tooth ache and cheek tenderness,Dental
gum soreness after flossing hard,Dental
tooth pain spreading to sinuses,Dental
pain in jaw when speaking,Dental
tender tooth to touch and pressure,Dental
